Epoch:[1/500]-[1/93] --> d_loss: 1.504, g_loss:0.968, g_recon_loss:0.803
Epoch:[1/500]-[2/93] --> d_loss: 1.613, g_loss:0.961, g_recon_loss:0.801
Epoch:[1/500]-[3/93] --> d_loss: 1.611, g_loss:0.939, g_recon_loss:0.798
Epoch:[1/500]-[4/93] --> d_loss: 1.607, g_loss:0.928, g_recon_loss:0.795
Epoch:[1/500]-[5/93] --> d_loss: 1.604, g_loss:0.925, g_recon_loss:0.791
Epoch:[1/500]-[6/93] --> d_loss: 1.592, g_loss:0.935, g_recon_loss:0.786
Epoch:[1/500]-[7/93] --> d_loss: 1.598, g_loss:0.930, g_recon_loss:0.781
Epoch:[1/500]-[8/93] --> d_loss: 1.598, g_loss:0.921, g_recon_loss:0.767
Epoch:[1/500]-[9/93] --> d_loss: 1.591, g_loss:0.898, g_recon_loss:0.747
Epoch:[1/500]-[10/93] --> d_loss: 1.586, g_loss:0.895, g_recon_loss:0.732
Epoch:[1/500]-[11/93] --> d_loss: 1.575, g_loss:0.917, g_recon_loss:0.712
Epoch:[1/500]-[12/93] --> d_loss: 1.572, g_loss:0.888, g_recon_loss:0.700
Epoch:[1/500]-[13/93] --> d_loss: 1.565, g_loss:0.886, g_recon_loss:0.691
Epoch:[1/500]-[14/93] --> d_loss: 1.565, g_loss:0.881, g_recon_loss:0.677
Epoch:[1/500]-[15/93] --> d_loss: 1.571, g_loss:0.908, g_recon_loss:0.672
Epoch:[1/500]-[16/93] --> d_loss: 1.563, g_loss:0.904, g_recon_loss:0.671
Epoch:[1/500]-[17/93] --> d_loss: 1.555, g_loss:0.898, g_recon_loss:0.672
Epoch:[1/500]-[18/93] --> d_loss: 1.566, g_loss:0.895, g_recon_loss:0.664
Epoch:[1/500]-[19/93] --> d_loss: 1.527, g_loss:0.880, g_recon_loss:0.660
Epoch:[1/500]-[20/93] --> d_loss: 1.574, g_loss:0.901, g_recon_loss:0.660
Epoch:[1/500]-[21/93] --> d_loss: 1.549, g_loss:0.887, g_recon_loss:0.662
Epoch:[1/500]-[22/93] --> d_loss: 1.533, g_loss:0.885, g_recon_loss:0.675
Epoch:[1/500]-[23/93] --> d_loss: 1.517, g_loss:0.883, g_recon_loss:0.701
Epoch:[1/500]-[24/93] --> d_loss: 1.552, g_loss:0.894, g_recon_loss:0.683
Epoch:[1/500]-[25/93] --> d_loss: 1.526, g_loss:0.906, g_recon_loss:0.698
Epoch:[1/500]-[26/93] --> d_loss: 1.554, g_loss:0.891, g_recon_loss:0.694
Epoch:[1/500]-[27/93] --> d_loss: 1.542, g_loss:0.902, g_recon_loss:0.695
Epoch:[1/500]-[28/93] --> d_loss: 1.539, g_loss:0.922, g_recon_loss:0.676
Epoch:[1/500]-[29/93] --> d_loss: 1.558, g_loss:0.876, g_recon_loss:0.668
Epoch:[1/500]-[30/93] --> d_loss: 1.555, g_loss:0.879, g_recon_loss:0.666
Epoch:[1/500]-[31/93] --> d_loss: 1.543, g_loss:0.888, g_recon_loss:0.654
Epoch:[1/500]-[32/93] --> d_loss: 1.539, g_loss:0.874, g_recon_loss:0.658
Epoch:[1/500]-[33/93] --> d_loss: 1.526, g_loss:0.881, g_recon_loss:0.659
Epoch:[1/500]-[34/93] --> d_loss: 1.548, g_loss:0.916, g_recon_loss:0.661
Epoch:[1/500]-[35/93] --> d_loss: 1.533, g_loss:0.904, g_recon_loss:0.666
Epoch:[1/500]-[36/93] --> d_loss: 1.553, g_loss:0.900, g_recon_loss:0.662
Epoch:[1/500]-[37/93] --> d_loss: 1.532, g_loss:0.882, g_recon_loss:0.663
Epoch:[1/500]-[38/93] --> d_loss: 1.545, g_loss:0.906, g_recon_loss:0.676
Epoch:[1/500]-[39/93] --> d_loss: 1.552, g_loss:0.891, g_recon_loss:0.671
Epoch:[1/500]-[40/93] --> d_loss: 1.547, g_loss:0.871, g_recon_loss:0.657
Epoch:[1/500]-[41/93] --> d_loss: 1.523, g_loss:0.869, g_recon_loss:0.657
Epoch:[1/500]-[42/93] --> d_loss: 1.545, g_loss:0.871, g_recon_loss:0.656
Epoch:[1/500]-[43/93] --> d_loss: 1.504, g_loss:0.872, g_recon_loss:0.647
Epoch:[1/500]-[44/93] --> d_loss: 1.492, g_loss:0.883, g_recon_loss:0.653
Epoch:[1/500]-[45/93] --> d_loss: 1.537, g_loss:0.864, g_recon_loss:0.634
Epoch:[1/500]-[46/93] --> d_loss: 1.536, g_loss:0.865, g_recon_loss:0.639
Epoch:[1/500]-[47/93] --> d_loss: 1.520, g_loss:0.887, g_recon_loss:0.634
Epoch:[1/500]-[48/93] --> d_loss: 1.516, g_loss:0.872, g_recon_loss:0.621
Epoch:[1/500]-[49/93] --> d_loss: 1.559, g_loss:0.876, g_recon_loss:0.633
Epoch:[1/500]-[50/93] --> d_loss: 1.516, g_loss:0.906, g_recon_loss:0.624
Epoch:[1/500]-[51/93] --> d_loss: 1.490, g_loss:0.907, g_recon_loss:0.628
Epoch:[1/500]-[52/93] --> d_loss: 1.531, g_loss:0.889, g_recon_loss:0.616
Epoch:[1/500]-[53/93] --> d_loss: 1.511, g_loss:0.883, g_recon_loss:0.612
Epoch:[1/500]-[54/93] --> d_loss: 1.557, g_loss:0.892, g_recon_loss:0.616
Epoch:[1/500]-[55/93] --> d_loss: 1.540, g_loss:0.885, g_recon_loss:0.616
Epoch:[1/500]-[56/93] --> d_loss: 1.552, g_loss:0.869, g_recon_loss:0.621
Epoch:[1/500]-[57/93] --> d_loss: 1.539, g_loss:0.877, g_recon_loss:0.618
Epoch:[1/500]-[58/93] --> d_loss: 1.530, g_loss:0.873, g_recon_loss:0.629
Epoch:[1/500]-[59/93] --> d_loss: 1.544, g_loss:0.879, g_recon_loss:0.626
Epoch:[1/500]-[60/93] --> d_loss: 1.530, g_loss:0.875, g_recon_loss:0.613
Epoch:[1/500]-[61/93] --> d_loss: 1.507, g_loss:0.863, g_recon_loss:0.610
Epoch:[1/500]-[62/93] --> d_loss: 1.520, g_loss:0.873, g_recon_loss:0.628
Epoch:[1/500]-[63/93] --> d_loss: 1.499, g_loss:0.856, g_recon_loss:0.608
Epoch:[1/500]-[64/93] --> d_loss: 1.495, g_loss:0.868, g_recon_loss:0.604
Epoch:[1/500]-[65/93] --> d_loss: 1.518, g_loss:0.864, g_recon_loss:0.603
Epoch:[1/500]-[66/93] --> d_loss: 1.503, g_loss:0.871, g_recon_loss:0.598
Epoch:[1/500]-[67/93] --> d_loss: 1.508, g_loss:0.856, g_recon_loss:0.596
Epoch:[1/500]-[68/93] --> d_loss: 1.504, g_loss:0.859, g_recon_loss:0.600
Epoch:[1/500]-[69/93] --> d_loss: 1.520, g_loss:0.854, g_recon_loss:0.609
Epoch:[1/500]-[70/93] --> d_loss: 1.492, g_loss:0.874, g_recon_loss:0.613
Epoch:[1/500]-[71/93] --> d_loss: 1.494, g_loss:0.854, g_recon_loss:0.612
Epoch:[1/500]-[72/93] --> d_loss: 1.500, g_loss:0.869, g_recon_loss:0.608
Epoch:[1/500]-[73/93] --> d_loss: 1.507, g_loss:0.871, g_recon_loss:0.613
Epoch:[1/500]-[74/93] --> d_loss: 1.503, g_loss:0.870, g_recon_loss:0.600
Epoch:[1/500]-[75/93] --> d_loss: 1.522, g_loss:0.872, g_recon_loss:0.599
Epoch:[1/500]-[76/93] --> d_loss: 1.492, g_loss:0.856, g_recon_loss:0.590
Epoch:[1/500]-[77/93] --> d_loss: 1.524, g_loss:0.869, g_recon_loss:0.598
Epoch:[1/500]-[78/93] --> d_loss: 1.482, g_loss:0.861, g_recon_loss:0.606
Epoch:[1/500]-[79/93] --> d_loss: 1.487, g_loss:0.855, g_recon_loss:0.607
Epoch:[1/500]-[80/93] --> d_loss: 1.496, g_loss:0.856, g_recon_loss:0.615
Epoch:[1/500]-[81/93] --> d_loss: 1.491, g_loss:0.858, g_recon_loss:0.629
Epoch:[1/500]-[82/93] --> d_loss: 1.480, g_loss:0.875, g_recon_loss:0.634
Epoch:[1/500]-[83/93] --> d_loss: 1.501, g_loss:0.873, g_recon_loss:0.629
Epoch:[1/500]-[84/93] --> d_loss: 1.508, g_loss:0.859, g_recon_loss:0.616
Epoch:[1/500]-[85/93] --> d_loss: 1.517, g_loss:0.850, g_recon_loss:0.600
Epoch:[1/500]-[86/93] --> d_loss: 1.509, g_loss:0.858, g_recon_loss:0.587
Epoch:[1/500]-[87/93] --> d_loss: 1.499, g_loss:0.873, g_recon_loss:0.592
Epoch:[1/500]-[88/93] --> d_loss: 1.489, g_loss:0.851, g_recon_loss:0.598
Epoch:[1/500]-[89/93] --> d_loss: 1.470, g_loss:0.853, g_recon_loss:0.596
Epoch:[1/500]-[90/93] --> d_loss: 1.490, g_loss:0.859, g_recon_loss:0.597
Epoch:[1/500]-[91/93] --> d_loss: 1.512, g_loss:0.858, g_recon_loss:0.594
Epoch:[1/500]-[92/93] --> d_loss: 1.472, g_loss:0.857, g_recon_loss:0.589
Epoch:[1/500]-[93/93] --> d_loss: 1.502, g_loss:0.863, g_recon_loss:0.602
Epoch (2/500)-----------------------------------------------------------------------
Epoch:[2/500]-[1/93] --> d_loss: 1.501, g_loss:0.861, g_recon_loss:0.592
Epoch:[2/500]-[2/93] --> d_loss: 1.498, g_loss:0.858, g_recon_loss:0.593
Epoch:[2/500]-[3/93] --> d_loss: 1.496, g_loss:0.851, g_recon_loss:0.599
Epoch:[2/500]-[4/93] --> d_loss: 1.499, g_loss:0.856, g_recon_loss:0.594
Epoch:[2/500]-[5/93] --> d_loss: 1.486, g_loss:0.846, g_recon_loss:0.586
Epoch:[2/500]-[6/93] --> d_loss: 1.484, g_loss:0.849, g_recon_loss:0.598
Epoch:[2/500]-[7/93] --> d_loss: 1.502, g_loss:0.850, g_recon_loss:0.595
Epoch:[2/500]-[8/93] --> d_loss: 1.491, g_loss:0.853, g_recon_loss:0.589
Epoch:[2/500]-[9/93] --> d_loss: 1.493, g_loss:0.858, g_recon_loss:0.588
Epoch:[2/500]-[10/93] --> d_loss: 1.488, g_loss:0.856, g_recon_loss:0.597
Epoch:[2/500]-[11/93] --> d_loss: 1.483, g_loss:0.858, g_recon_loss:0.590
Epoch:[2/500]-[12/93] --> d_loss: 1.489, g_loss:0.865, g_recon_loss:0.595
Epoch:[2/500]-[13/93] --> d_loss: 1.490, g_loss:0.855, g_recon_loss:0.599
Epoch:[2/500]-[14/93] --> d_loss: 1.489, g_loss:0.852, g_recon_loss:0.585
Epoch:[2/500]-[15/93] --> d_loss: 1.474, g_loss:0.853, g_recon_loss:0.585
Epoch:[2/500]-[16/93] --> d_loss: 1.482, g_loss:0.858, g_recon_loss:0.594
Epoch:[2/500]-[17/93] --> d_loss: 1.480, g_loss:0.851, g_recon_loss:0.593
Epoch:[2/500]-[18/93] --> d_loss: 1.495, g_loss:0.853, g_recon_loss:0.586
Epoch:[2/500]-[19/93] --> d_loss: 1.492, g_loss:0.842, g_recon_loss:0.587
Epoch:[2/500]-[20/93] --> d_loss: 1.481, g_loss:0.843, g_recon_loss:0.593
Epoch:[2/500]-[21/93] --> d_loss: 1.470, g_loss:0.844, g_recon_loss:0.595
Epoch:[2/500]-[22/93] --> d_loss: 1.472, g_loss:0.862, g_recon_loss:0.600
Epoch:[2/500]-[23/93] --> d_loss: 1.473, g_loss:0.851, g_recon_loss:0.605
Epoch:[2/500]-[24/93] --> d_loss: 1.490, g_loss:0.841, g_recon_loss:0.587
Epoch:[2/500]-[25/93] --> d_loss: 1.467, g_loss:0.850, g_recon_loss:0.593
Epoch:[2/500]-[26/93] --> d_loss: 1.475, g_loss:0.844, g_recon_loss:0.597
Epoch:[2/500]-[27/93] --> d_loss: 1.477, g_loss:0.857, g_recon_loss:0.602
Epoch:[2/500]-[28/93] --> d_loss: 1.476, g_loss:0.860, g_recon_loss:0.596
Epoch:[2/500]-[29/93] --> d_loss: 1.476, g_loss:0.858, g_recon_loss:0.594
Epoch:[2/500]-[30/93] --> d_loss: 1.472, g_loss:0.845, g_recon_loss:0.600
